,County,Count,,
0,Adams,35,2,3.5
1,Asotin,45,2,4.5
2,Benton,1329,66,132.9
3,Chelan,635,32,63.5
4,Clallam,711,36,71.1
5,Clark,6453,323,645.3
6,Columbia,13,1,1.3
7,Cowlitz,566,28,56.6
8,Douglas,219,11,21.9
9,Ferry,27,1,2.7
10,Franklin,353,18,35.3
11,Garfield,4,0,0.4
12,Grant,322,16,32.2
13,Grays Harbor,391,20,39.1
14,Island,1281,64,128.1
15,Jefferson,681,34,68.1
16,King,57398,2870,5739.8
17,Kitsap,3774,189,377.4
18,Kittitas,384,19,38.4
19,Klickitat,167,8,16.7
20,Lewis,435,22,43.5
21,Lincoln,28,1,2.8
22,Mason,538,27,53.8
23,Okanogan,148,7,14.8
24,Pacific,143,7,14.3
25,Pend Oreille,31,2,3.1
26,Pierce,8216,411,821.6
27,San Juan,712,36,71.2
28,Skagit,1240,62,124
29,Skamania,134,7,13.4
30,Snohomish,12022,601,1202.2
31,Spokane,2719,136,271.9
32,Stevens,140,7,14
33,Thurston,4035,202,403.5
34,Wahkiakum,37,2,3.7
35,Walla Walla,301,15,30.1
36,Whatcom,2767,138,276.7
37,Whitman,170,9,17
38,Yakima,601,30,60.1
